date	cmname	unit	category	price
1/15/2013	Rice - Retail	KG	cereals and tubers	10821
2/15/2013	Rice - Retail	KG	cereals and tubers	10819
3/15/2013	Rice - Retail	KG	cereals and tubers	10748
4/15/2013	Rice - Retail	KG	cereals and tubers	10646
5/15/2013	Rice - Retail	KG	cereals and tubers	10646
6/15/2013	Rice - Retail	KG	cereals and tubers	10718
7/15/2013	Rice - Retail	KG	cereals and tubers	10874
8/15/2013	Rice - Retail	KG	cereals and tubers	10938
9/15/2013	Rice - Retail	KG	cereals and tubers	10969
10/15/2013	Rice - Retail	KG	cereals and tubers	10987
11/15/2013	Rice - Retail	KG	cereals and tubers	11011
12/15/2013	Rice - Retail	KG	cereals and tubers	11073
1/15/2014	Rice - Retail	KG	cereals and tubers	11224
2/15/2014	Rice - Retail	KG	cereals and tubers	11389
3/15/2014	Rice - Retail	KG	cereals and tubers	11564
4/15/2014	Rice - Retail	KG	cereals and tubers	11313
5/15/2014	Rice - Retail	KG	cereals and tubers	11219
6/15/2014	Rice - Retail	KG	cereals and tubers	11259
7/15/2014	Rice - Retail	KG	cereals and tubers	11321
8/15/2014	Rice - Retail	KG	cereals and tubers	11390
9/15/2014	Rice - Retail	KG	cereals and tubers	11433
10/15/2014	Rice - Retail	KG	cereals and tubers	11522
11/15/2014	Rice - Retail	KG	cereals and tubers	11691
12/15/2014	Rice - Retail	KG	cereals and tubers	12210
1/15/2015	Rice - Retail	KG	cereals and tubers	12444
2/15/2015	Rice - Retail	KG	cereals and tubers	12802
3/15/2015	Rice - Retail	KG	cereals and tubers	13089
4/15/2015	Rice - Retail	KG	cereals and tubers	12458
5/15/2015	Rice - Retail	KG	cereals and tubers	12348
6/15/2015	Rice - Retail	KG	cereals and tubers	12425
7/15/2015	Rice - Retail	KG	cereals and tubers	12509
8/15/2015	Rice - Retail	KG	cereals and tubers	12709
9/15/2015	Rice - Retail	KG	cereals and tubers	12968
10/15/2015	Rice - Retail	KG	cereals and tubers	13067
11/15/2015	Rice - Retail	KG	cereals and tubers	13139
12/15/2015	Rice - Retail	KG	cereals and tubers	13217
1/15/2016	Rice - Retail	KG	cereals and tubers	13319
2/15/2016	Rice - Retail	KG	cereals and tubers	13376
3/15/2016	Rice - Retail	KG	cereals and tubers	13301
4/15/2016	Rice - Retail	KG	cereals and tubers	13105
5/15/2016	Rice - Retail	KG	cereals and tubers	13039
6/15/2016	Rice - Retail	KG	cereals and tubers	13115
7/15/2016	Rice - Retail	KG	cereals and tubers	13181
8/15/2016	Rice - Retail	KG	cereals and tubers	13157
9/15/2016	Rice - Retail	KG	cereals and tubers	13140
10/15/2016	Rice - Retail	KG	cereals and tubers	13153
11/15/2016	Rice - Retail	KG	cereals and tubers	13185
12/15/2016	Rice - Retail	KG	cereals and tubers	13201
1/15/2017	Rice - Retail	KG	cereals and tubers	13222
2/15/2017	Rice - Retail	KG	cereals and tubers	13202
3/15/2017	Rice - Retail	KG	cereals and tubers	13125
4/15/2017	Rice - Retail	KG	cereals and tubers	13074
5/15/2017	Rice - Retail	KG	cereals and tubers	13096
6/15/2017	Rice - Retail	KG	cereals and tubers	13125
8/15/2017	Rice - Retail	KG	cereals and tubers	13095
9/15/2017	Rice - Retail	KG	cereals and tubers	13215
10/15/2017	Rice - Retail	KG	cereals and tubers	13346
11/15/2017	Rice - Retail	KG	cereals and tubers	13429
12/15/2017	Rice - Retail	KG	cereals and tubers	13676
1/15/2013	Wheat - Retail	KG	cereals and tubers	7395
2/15/2013	Wheat - Retail	KG	cereals and tubers	7390
3/15/2013	Wheat - Retail	KG	cereals and tubers	7364
4/15/2013	Wheat - Retail	KG	cereals and tubers	7361
5/15/2013	Wheat - Retail	KG	cereals and tubers	7350
6/15/2013	Wheat - Retail	KG	cereals and tubers	7356
7/15/2013	Wheat - Retail	KG	cereals and tubers	7388
8/15/2013	Wheat - Retail	KG	cereals and tubers	7438
9/15/2013	Wheat - Retail	KG	cereals and tubers	7471
10/15/2013	Wheat - Retail	KG	cereals and tubers	7511
11/15/2013	Wheat - Retail	KG	cereals and tubers	7583
12/15/2013	Wheat - Retail	KG	cereals and tubers	7694
1/15/2014	Wheat - Retail	KG	cereals and tubers	7759
2/15/2014	Wheat - Retail	KG	cereals and tubers	7754
3/15/2014	Wheat - Retail	KG	cereals and tubers	7766
4/15/2014	Wheat - Retail	KG	cereals and tubers	7758
5/15/2014	Wheat - Retail	KG	cereals and tubers	7750
6/15/2014	Wheat - Retail	KG	cereals and tubers	7773
7/15/2014	Wheat - Retail	KG	cereals and tubers	7790
8/15/2014	Wheat - Retail	KG	cereals and tubers	7792
9/15/2014	Wheat - Retail	KG	cereals and tubers	7831
10/15/2014	Wheat - Retail	KG	cereals and tubers	7803
11/15/2014	Wheat - Retail	KG	cereals and tubers	7794
12/15/2014	Wheat - Retail	KG	cereals and tubers	7800
1/15/2015	Wheat - Retail	KG	cereals and tubers	7850
2/15/2015	Wheat - Retail	KG	cereals and tubers	7850
3/15/2015	Wheat - Retail	KG	cereals and tubers	7852
4/15/2015	Wheat - Retail	KG	cereals and tubers	7854
5/15/2015	Wheat - Retail	KG	cereals and tubers	7826
6/15/2015	Wheat - Retail	KG	cereals and tubers	7834
7/15/2015	Wheat - Retail	KG	cereals and tubers	7927
8/15/2015	Wheat - Retail	KG	cereals and tubers	7953
9/15/2015	Wheat - Retail	KG	cereals and tubers	7951
10/15/2015	Wheat - Retail	KG	cereals and tubers	7955
11/15/2015	Wheat - Retail	KG	cereals and tubers	7938
12/15/2015	Wheat - Retail	KG	cereals and tubers	7961
1/15/2016	Wheat - Retail	KG	cereals and tubers	7986
2/15/2016	Wheat - Retail	KG	cereals and tubers	7980
3/15/2016	Wheat - Retail	KG	cereals and tubers	7985
4/15/2016	Wheat - Retail	KG	cereals and tubers	8007
5/15/2016	Wheat - Retail	KG	cereals and tubers	7990
6/15/2016	Wheat - Retail	KG	cereals and tubers	8019
7/15/2016	Wheat - Retail	KG	cereals and tubers	8042
8/15/2016	Wheat - Retail	KG	cereals and tubers	8064
9/15/2016	Wheat - Retail	KG	cereals and tubers	8054
10/15/2016	Wheat - Retail	KG	cereals and tubers	8048
11/15/2016	Wheat - Retail	KG	cereals and tubers	8006
12/15/2016	Wheat - Retail	KG	cereals and tubers	8014
1/15/2017	Wheat - Retail	KG	cereals and tubers	8030
2/15/2017	Wheat - Retail	KG	cereals and tubers	8020
3/15/2017	Wheat - Retail	KG	cereals and tubers	7998
4/15/2017	Wheat - Retail	KG	cereals and tubers	7922
5/15/2017	Wheat - Retail	KG	cereals and tubers	7895
6/15/2017	Wheat - Retail	KG	cereals and tubers	7929
8/15/2017	Wheat - Retail	KG	cereals and tubers	8005
9/15/2017	Wheat - Retail	KG	cereals and tubers	8159
10/15/2017	Wheat - Retail	KG	cereals and tubers	8244
11/15/2017	Wheat - Retail	KG	cereals and tubers	8258
12/15/2017	Wheat - Retail	KG	cereals and tubers	8296
1/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	32799
2/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	31953
3/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	30988
4/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	30480
5/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	30550
6/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	32502
7/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37244
8/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37039
9/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37732
10/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	35061
11/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	32947
12/15/2013	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	32202
1/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	33757
2/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	33230
3/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	33231
4/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	32435
5/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	34284
6/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	36050
7/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	36483
8/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37173
9/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37526
10/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	33905
11/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	33474
12/15/2014	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	34043
1/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	36515
2/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	35682
3/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	35279
4/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	33570
5/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	35279
6/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	36944
7/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	39231
8/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	41616
9/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37742
10/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	35693
11/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	36296
12/15/2015	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	38550
1/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	41372
2/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	39862
3/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	36203
4/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	35102
5/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37619
6/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	39635
7/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	41034
8/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	39606
9/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	38830
10/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	38015
11/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37547
12/15/2016	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	38538
1/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	39906
2/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37480
3/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37285
4/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37777
5/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	39133
6/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	40123
8/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	39868
9/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	39031
10/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	37856
11/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	38132
12/15/2017	"Meat (chicken, broiler) - Retail"	KG	"meat, fish and eggs"	40454
1/15/2013	Chili (green) - Retail	KG	vegetables and fruits	25162
2/15/2013	Chili (green) - Retail	KG	vegetables and fruits	28838
3/15/2013	Chili (green) - Retail	KG	vegetables and fruits	34888
4/15/2013	Chili (green) - Retail	KG	vegetables and fruits	30157
5/15/2013	Chili (green) - Retail	KG	vegetables and fruits	25190
6/15/2013	Chili (green) - Retail	KG	vegetables and fruits	29807
7/15/2013	Chili (green) - Retail	KG	vegetables and fruits	46278
8/15/2013	Chili (green) - Retail	KG	vegetables and fruits	44843
9/15/2013	Chili (green) - Retail	KG	vegetables and fruits	34314
10/15/2013	Chili (green) - Retail	KG	vegetables and fruits	34918
11/15/2013	Chili (green) - Retail	KG	vegetables and fruits	26723
12/15/2013	Chili (green) - Retail	KG	vegetables and fruits	29008
1/15/2014	Chili (green) - Retail	KG	vegetables and fruits	35938
2/15/2014	Chili (green) - Retail	KG	vegetables and fruits	42202
3/15/2014	Chili (green) - Retail	KG	vegetables and fruits	49144
4/15/2014	Chili (green) - Retail	KG	vegetables and fruits	44338
5/15/2014	Chili (green) - Retail	KG	vegetables and fruits	26443
6/15/2014	Chili (green) - Retail	KG	vegetables and fruits	23212
7/15/2014	Chili (green) - Retail	KG	vegetables and fruits	23168
8/15/2014	Chili (green) - Retail	KG	vegetables and fruits	24878
9/15/2014	Chili (green) - Retail	KG	vegetables and fruits	24507
10/15/2014	Chili (green) - Retail	KG	vegetables and fruits	27803
11/15/2014	Chili (green) - Retail	KG	vegetables and fruits	46011
12/15/2014	Chili (green) - Retail	KG	vegetables and fruits	61843
1/15/2015	Chili (green) - Retail	KG	vegetables and fruits	52134
2/15/2015	Chili (green) - Retail	KG	vegetables and fruits	34539
3/15/2015	Chili (green) - Retail	KG	vegetables and fruits	30947
4/15/2015	Chili (green) - Retail	KG	vegetables and fruits	28202
5/15/2015	Chili (green) - Retail	KG	vegetables and fruits	29432
6/15/2015	Chili (green) - Retail	KG	vegetables and fruits	30698
7/15/2015	Chili (green) - Retail	KG	vegetables and fruits	39957
8/15/2015	Chili (green) - Retail	KG	vegetables and fruits	49551
9/15/2015	Chili (green) - Retail	KG	vegetables and fruits	43471
10/15/2015	Chili (green) - Retail	KG	vegetables and fruits	29282
11/15/2015	Chili (green) - Retail	KG	vegetables and fruits	28465
12/15/2015	Chili (green) - Retail	KG	vegetables and fruits	35157
1/15/2016	Chili (green) - Retail	KG	vegetables and fruits	35881
2/15/2016	Chili (green) - Retail	KG	vegetables and fruits	31557
3/15/2016	Chili (green) - Retail	KG	vegetables and fruits	41504
